ensembl_gene_id_version	ensembl_gene_id	external_gene_name
ENSG00000172362.4	ENSG00000172362	OR5B12
ENSG00000172365.4	ENSG00000172365	OR5B2
ENSG00000172367.16	ENSG00000172367	PDZD3
ENSG00000172375.14	ENSG00000172375	C2CD2L
ENSG00000172377.3	ENSG00000172377	OR9I1
ENSG00000172409.7	ENSG00000172409	CLP1
ENSG00000172425.12	ENSG00000172425	TTC36
ENSG00000172457.7	ENSG00000172457	OR9G4
ENSG00000172459.5	ENSG00000172459	OR5AR1
ENSG00000172464.4	ENSG00000172464	OR5AP2
ENSG00000172487.4	ENSG00000172487	OR8J1
ENSG00000172489.7	ENSG00000172489	OR5T3
ENSG00000172500.13	ENSG00000172500	FIBP
ENSG00000172508.11	ENSG00000172508	CARNS1
ENSG00000172531.16	ENSG00000172531	PPP1CA
ENSG00000172538.7	ENSG00000172538	FAM170B
ENSG00000172543.9	ENSG00000172543	CTSW
ENSG00000172551.12	ENSG00000172551	MUCL1
ENSG00000172572.7	ENSG00000172572	PDE3A
ENSG00000172586.8	ENSG00000172586	CHCHD1
ENSG00000172602.11	ENSG00000172602	RND1
ENSG00000172613.8	ENSG00000172613	RAD9A
ENSG00000172638.13	ENSG00000172638	EFEMP2
ENSG00000172640.4	ENSG00000172640	OR10AD1
ENSG00000172650.15	ENSG00000172650	AGAP5
ENSG00000172661.20	ENSG00000172661	WASHC2C
ENSG00000172663.9	ENSG00000172663	TMEM134
ENSG00000172671.20	ENSG00000172671	ZFAND4
ENSG00000172680.1	ENSG00000172680	MOS
ENSG00000172689.2	ENSG00000172689	MS4A10
ENSG00000172724.12	ENSG00000172724	CCL19
ENSG00000172725.14	ENSG00000172725	CORO1B
ENSG00000172728.16	ENSG00000172728	FUT10
ENSG00000172731.15	ENSG00000172731	LRRC20
ENSG00000172732.12	ENSG00000172732	MUS81
ENSG00000172733.12	ENSG00000172733	PURG
ENSG00000172742.6	ENSG00000172742	OR4D9
ENSG00000172757.13	ENSG00000172757	CFL1
ENSG00000172769.4	ENSG00000172769	OR5B3
ENSG00000172772.3	ENSG00000172772	OR10W1
